cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel,FactualityScore
FRT1ST0023HS0029CN000533T1,The veiled women do not work. They are locked up at home.,These statements stigmatize these citizens.,Islamophobia,women,facts,,,,0
FRT1ST0014HS0021CN001132P1,Les musulmans ne sont pas tolérants envers les non-musulmans.,Ces propos incitent à la haine et sont puni par la loi.,Islamophobia,generic,"consequences , denouncing",36.0,female,Master,0
FRT1ST0015HS0042CN000379,L'islam nous envahira: c'est l'islamisation.,Encore un mythe qui rejoint la théorie du grand remplacement.,Islamophobia,islamization,facts,31.0,female,PhD,0
FRT1ST0012HS0037CN001632,Les femmes voilées sont soumises et obligées de porter le foulard.,Pourquoi vous acharnez vous sur sa tenue? En quoi cela vous regarde t-il? Ce n'est qu'un morceau de tissu pour vous mais bien plus pour elle; il protège sa liberté de conscience.,Islamophobia,"culture , women","hypocrisy , question",55.0,female,PhD,0
FRT1ST0014HS0043CN001290P1,L'islam crée des problèmes pour notre société.,Ok si tu le dis.,Islamophobia,generic,other,27.0,female,Master,0
ITT1ST0013HS0013CN000278P2,"Gli islamici ricondurrano il nostro paese a stati di arretratezza simili a quelli del medioevo, in cui moriremo per la povertà e le malattie.",In che modo limiteranno il nostro cibo e faranno aumentare le malattie?,Islamophobia,economics,question,41.0,female,High school,0
ENT1ST0014HS0108CN000901P1,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,Atheists like chocolate too!,Islamophobia,generic,humor,61.0,male,Bachelor,0
FRT1ST0014HS0001CN000323P1,Les femmes musulmanes sont des ménagères.,Les femmes au foyer sont de toute religion.,Islamophobia,generic,facts,28.0,male,High school,0
ENT1ST0014HS0067CN000806P1,I do not really understand why I should listen to Muslim women. They are evidently dumb.,What is the point in listening? Maybe because they actually have something good to say?,Islamophobia,generic,facts,26.0,female,Bachelor,0
FRT1ST0012HS0037CN001612P2,Les femmes voilées sont misérables et réprimées.,Pour l immense majorité c est un choix personnel.,Islamophobia,"culture , women",facts,35.0,male,PhD,0
ENT1ST0008HS0026CN000400,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","You are looking at Sharia's law from the position of a Western person. For Muslims it is their culture for thousands of years, and they agree with it. Please do not impose your opinion on other people!",Islamophobia,culture,"denouncing , facts",24.0,female,Bachelor,0
ITT1ST0017HS0050CN000876P2,Tutti i musulmani sono terroristi che cercano di invaderci con le armi. La soluzione è attacarli a nostra volta con la violenza.,"Il numero di musulmani che hanno commesso certe stragi è insignificante rispetto al totale che vivono nelle nostre città. Generalizzare è sempre sbagliato, pur condannando i singoli crimini.",Islamophobia,"islamization , terrorism",facts,23.0,male,Bachelor,0
ITT1ST0013HS0013CN000254P1,"Gli islamici porteranno nuove malattie e carestie nelle nostre nazioni, sarà come ritornare al medioevo.",Di che malattie parla in particolare? Non mi risulta che ci sia uno studio che dimostri davvero questo legame tra cittadini stranieri e aumento di queste presunte malattie.,Islamophobia,economics,"facts , question",23.0,male,Bachelor,0
ITT1ST0017HS0050CN000818T1,The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,"In the Koran, there is not even a word that can legitimize or at least justify terrorism. I invite to read it to enrich the general culture.",Islamophobia,"islamization , terrorism",facts,,,,0
ITT1ST0013HS0013CN000284T1,These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,"The Middle Ages is not represented by professing one religion instead of another, it is rather represented by discriminating on the basis of someone's faith.",Islamophobia,economics,denouncing,,,,0
FRT1ST0022HS0014CN000688T1,Muslims are all terrorists.,Almost all Muslims live in peace with other religions.,Islamophobia,terrorism,facts,,,,0
FRT1ST0012HS0050CN001395,Le voile islamique est la démonstration d'un islam politique.,Le voile islamique est le meilleur arme jamais porté par une femme aujourd'hui.,Islamophobia,"culture , women",positive,27.0,female,Master,0
ITT1ST0015HS0039CN000770P2,Stanno costruendo talmente tante moschee che tra poco esisteranno più luoghi di culto per loro che per noi.,Il numero di moschee è proporzionale al numero di musulmani stabilmente presenti nel nostro territorio.,Islamophobia,islamization,facts,25.0,female,PhD,0
FRT1ST0012HS0037CN001534T1,Veiled women are subjected and forced to wear the headscarf.,Bring your proof.,Islamophobia,"culture , women",question,,,,0
ENT1ST0014HS0126CN000622,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,Can you not see how offensive this is? Just replace what you said with any other group of people.,Islamophobia,generic,denouncing,25.0,male,Master,0
FRT1ST0022HS0014CN000622T1,Muslims are all terrorists.,"Like any generality, this argument is not a general one.",Islamophobia,terrorism,facts,,,,0
ENT1ST0023HS0009CN001269,"Liberal double standards! Muslims oppress women, homosexuals and other cultures but are not held responsible due to our society's tolerance! The government should stop submitting to these people.","If we excluded everyone who had prejudice, who would be left?",Islamophobia,women,hypocrisy,50.0,male,Bachelor,0
FRT1ST0008HS0047CN000776T1,Your veil is an attack against me.,Don't look at me and I have the right to choose my clothes. I am in a free country.,Islamophobia,culture,hypocrisy,,,,0
ENT1ST0014HS0031CN000688P2,"You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore.",I thought our society was based on respect tolerance and merit. Hate and prejudice does not belong in western society.,Islamophobia,generic,facts,50.0,male,Bachelor,0
FRT1ST0014HS0039CN000017P2,L'islam est inférieur en europe.,Les individus ont libre choix d'adopter l'islam comme religion sans se soucier de son origine.,Islamophobia,generic,facts,52.0,male,Master,0
FRT1ST0014HS0021CN001158T1,Muslims hate anyone who is not Muslim.,That is why millions of them come to live in countries where the majority of the population is not Muslim.,Islamophobia,generic,hypocrisy,,,,0
ENT1ST0014HS0047CN000891P1,"We need to kill Muslims, otherwise, they will make us explode!",How can you say this about 1.6 billion people?,Islamophobia,generic,denouncing,25.0,male,Master,0
ITT1ST0001HS0016CN000010P2,"Noi li ospitiamo nel nostro paese, forniamo un aiuto economico e loro ci uccidono: sono da considerarsi più simili agli animali che alle persone.","La sua affermazione, confesso, mi ha spiazzata, sopratutto quando scrive sono bestie e non uomini, è una affermazione piena di violenza, come prendere un pugno nello stomaco.",Islamophobia,crimes,denouncing,54.0,female,Bachelor,0
ITT1ST0015HS0039CN000760T1,"They began to build mosques everywhere, and so they compete with our churches.",The Muslim population has the right to practice their beliefs.,Islamophobia,islamization,facts,,,,0
ITT1ST0019HS0010CN001001P2,"I musulmani abusano delle donne italiane, dobbiamo castrarli!","Si tratta di crimini orrendi e vergognosi, moltissime volte perpetrati allinterno delle mura domestiche e in ambito familiare.",Islamophobia,rapism,denouncing,42.0,male,Master,0
FRT1ST0022HS0004CN000942T1,Muslims are all fundamentalist Islamist Salafist terrorists.,"You couldn't even define any of these terms clearly, without thinking.",Islamophobia,terrorism,denouncing,,,,0
ENT1ST0019HS0085CN001065P2,I want to be considered a realist not a racialist. Male Muslims commit child rapes and the non-Muslims are cheated by the police and local services. How could this happen?,Sources? This is hatred.,Islamophobia,rapism,"denouncing , question",25.0,male,Master,0
FRT1ST0022HS0004CN000913P1,Tous les musulmans sont des terroristes radicaux.,Sans commentaires.,Islamophobia,terrorism,other,41.0,male,Less than high school,0
FRT1ST0014HS0043CN001332P1,L'islam crée des problèmes pour notre société.,Il faut discuter avec des personnes compétentes dans le monde musulman et vous vous rendrez compte qu'il n'existe aucun problème mais de l'ignorance.,Islamophobia,generic,"facts , hypocrisy",41.0,male,Less than high school,0
ITT1ST0019HS0010CN000964T1,Muslims rape our women and must be neutered.,On what data and statistics do you make this statement?,Islamophobia,rapism,question,,,,0
ENT1ST0008HS0128CN000470,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,Christians also practise FGM. It is not a uniquely Muslim problem.,Islamophobia,culture,hypocrisy,25.0,female,Bachelor,0
ITT1ST0015HS0036CN000597P1,"È imbarazzante che non ci siano più i crocefissi nelle scuole, non rispetta la nostra religione.",Credo che il crocifisso a scuola sia una mancanza di rispetto per chi non è credente o ha una fede diversa da quella cristiana.,Islamophobia,islamization,facts,67.0,male,Master,0
ITT1ST0019HS0010CN000956P2,"I musulmani abusano delle donne italiane, dobbiamo castrarli!","Salve, sta suggerendo la castrazione come pena in un paese civilizzato come l' Italia?",Islamophobia,rapism,hypocrisy,17.0,female,Less than high school,0
ENT1ST0008HS0101CN000461,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",Shouldn't religious freedom be celebrated?,Islamophobia,culture,hypocrisy,25.0,male,Master,0
FRT1ST0014HS0043CN001304P2,L'islam pose beaucoup de problèmes à notre société.,C'est amplifié par l'actualité.,Islamophobia,generic,facts,52.0,male,Bachelor,0
FRT1ST0022HS0014CN000573P1,L'islam et le terrorisme sont des synonymes.,Apportez vos sources que nous vous les expliquions un à un.,Islamophobia,terrorism,question,36.0,male,Master,0
ITT1ST0022HS0008CN001040,Gli islamici sono tutti terroristi.,Io non penso che sia utile generalizzare; non puoi dire che siano 'tutti' terroristi!,Islamophobia,terrorism,denouncing,57.0,female,Bachelor,0
FRT1ST0022HS0014CN000698,Les musulmans sont tous des terroristes.,"Pour les musulmans, la vie est sacrée. Qui tue un homme, c'est comme s'il avait tué toute l'humanité.",Islamophobia,terrorism,facts,69.0,male,High school,0
FRT1ST0012HS0037CN001553T1,Veiled women are subjected and forced to wear the headscarf.,"A woman who decides to wear the veil to perform a spiritual journey, so she chose to wear it for her own personal reasons!",Islamophobia,"culture , women",facts,,,,0
ENT1ST0014HS0068CN000770P2,The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!,Britain Muslims means they are Britishes who enjoy the right covered by the Act. It is logical that labour party should consider their right and voice as well.,Islamophobia,generic,facts,29.0,female,Master,0
FRT1ST0012HS0037CN001632P1,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Pourquoi vous acharnez vous sur sa tenue? En quoi cela vous regarde t-il? Ce n'est qu'un morceau de tissu pour vous mais bien plus pour elle; il protège sa liberté de conscience.,Islamophobia,"culture , women","hypocrisy , question",55.0,female,PhD,0
FRT1ST0022HS0014CN000641P1,L'islam et le terrorisme sont des synonymes.,"Je ne cautionne pas ce propos. Si on remonte au debut du terrorisme, les initiateurs n ont pas été les musulmans.",Islamophobia,terrorism,facts,35.0,male,PhD,0
FRT1ST0012HS0050CN001512T1,The Islamic veil is the demonstration of political Islam.,"So what is your point? Islam is a political religion, the veil does not make it violent or hateful.",Islamophobia,"culture , women","hypocrisy , question",,,,0
ENT1ST0023HS0009CN001277P1,"These liberal standards! Muslims are intolerant with other cultures, women and homosexuals, but our society protects them with this liberalist policy.",Our society does not tolerate oppression of these groups by Muslims any more than it tolerates oppression of these groups by anyone else.,Islamophobia,women,facts,21.0,female,Bachelor,0
FRT1ST0022HS0004CN000940P2,L'islam et le terrorisme sont des synonymes.,"De temps en temps, ouvrir un livre d'histoire parlant d'autre chose que de Napoléon, de Charlemagne ou de Louis XIV, ça ne fait pas de mal. Et permettrait accessoirement d'avoir une meilleure idée de la complexité et de la richesse du monde.",Islamophobia,terrorism,facts,28.0,male,Master,0
FRT1ST0023HS0029CN000549T1,The veiled women do not work. They are locked up at home.,"During the time of Prophet Mohamad, women were active participants in society.",Islamophobia,women,facts,,,,0
FRT1ST0022HS0014CN000677,Les musulmans sont tous des terroristes.,Donc tout les prêtres sont pédophiles et tout les allemands des nazis.,Islamophobia,terrorism,hypocrisy,41.0,male,Less than high school,0
FRT1ST0012HS0037CN001603P1,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"Ne pensez vous pas qu'il y a aussi des femmes obligées de porter des ""vetements sexy"" contre leur gré? Ou des vetements de telle ou telle coupe? Ou de telle et telle couleur?",Islamophobia,"culture , women","hypocrisy , question",34.0,male,Master,0
FRT1ST0022HS0014CN000637T1,Muslims are all terrorists.,Terrorists are the ones who say the same thing.,Islamophobia,terrorism,facts,,,,0
FRT1ST0013HS0025CN000107T1,Muslims steal our work.,"In so-called Muslim countries, there are thousands of repatriated non-Muslims working there without hearing this speech.",Islamophobia,economics,facts,,,,0
FRT1ST0022HS0004CN000275P2,L'islam et le terrorisme sont des synonymes.,On pourrait dire que vous avez un vocabulaire limité.,Islamophobia,terrorism,humor,44.0,female,Some university without degree,0
ITT1ST0019HS0010CN000939P2,"I musulmani abusano delle donne italiane, dobbiamo castrarli!",Una frase che denota una profonda ignoranza o una perfetta malafede perché chi offende le donne sono gli appartenenti al genere maschile di ogni latitudine.,Islamophobia,rapism,"denouncing , facts",59.0,female,Bachelor,0
ITT1ST0017HS0050CN000842P1,Tutti gli arabi compiono atti terroristici e vogliono sottometterci per mezzo di violenza e bombe. È opportuno contrastarli con le fiamme.,"Arabo, islamico e terrorista sono termini molto differenti che dobbiamo imparare ad utilizzare. Arabi: abitanti dell'Arabia, della Siria, del Libano, della Giordania e dell'Iraq. Islamici: chi professa la religione islamica Terroristi: estremisti dell'Islam.",Islamophobia,"islamization , terrorism",facts,17.0,female,Less than high school,0
ITT1ST0011HS0062CN000181P1,L'islam compie atti estremisti. Gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo.,Da dove le arriva la convinzione che i musulmani voglio uccidere tutti quelli che non credono nel loro dio ?,Islamophobia,"culture , terrorism",question,54.0,female,Bachelor,0
FRT1ST0013HS0025CN000106P1,Les musulmans volent nos lieux de travail.,"Ce discours cible les immigrants d'une manière générale , mais pour être accepté avec le climat de haaaine contre les musulmans , il a changé le nom de la cible. Or parmi les immigrants orientaux à titre d'exemple, il y les chrétiens et les musulmans.",Islamophobia,economics,denouncing,52.0,male,Master,0
FRT1ST0008HS0047CN000806T1,Your veil is an attack against me.,It is just a piece of tissue.,Islamophobia,culture,humor,,,,0
ITT1ST0013HS0013CN000300,Questi islamici ci riporteranno al medioevo. Faremo la fame e moriremo per malattie che erano scomparse.,"Buongiorno, la popolazione musulmana in Italia non supera il 5%, come potrebbe questo rappresentare una minaccia per gli Italiani?",Islamophobia,economics,"facts , question",27.0,female,Bachelor,0
FRT1ST0023HS0029CN000571T1,The veiled women do not work. They are locked up at home.,"On the contrary, many are working.",Islamophobia,women,facts,,,,0
ITT1ST0015HS0039CN000757P2,Stanno costruendo talmente tante moschee che tra poco esisteranno più luoghi di culto per loro che per noi.,"No, è una necessità condivisibile, nessun fedele fa a gara con gli altri per pregare.",Islamophobia,islamization,facts,37.0,male,High school,0
ITT1ST0017HS0050CN000829P1,Tutti gli arabi compiono atti terroristici e vogliono sottometterci per mezzo di violenza e bombe. È opportuno contrastarli con le fiamme.,Napalm selettivo? Lo buttiamo sulle nostre città e speriamo colpisca gli arabi?,Islamophobia,"islamization , terrorism",humor,58.0,male,Master,0
ITT1ST0001HS0058CN000002P2,Gli islamisti passano il loro tempo a rubare.,Un opinione basata sul nulla se non odio e pregiudizio.,Islamophobia,crimes,denouncing,59.0,female,Bachelor,0
ITT1ST0017HS0050CN000873P1,Tutti gli arabi compiono atti terroristici e vogliono sottometterci per mezzo di violenza e bombe. È opportuno contrastarli con le fiamme.,"Sebbene ci siano sicuramente musulmani che abbiano commesso crimini orrendi, trovo ingiusto generalizzare e condannare un'intera categoria: molte persone non hanno mai fatto mai del male a nessuno e rischiano di pagare con questi pregiudizi.",Islamophobia,"islamization , terrorism","denouncing , facts",23.0,male,Bachelor,0
ITT1ST0017HS0050CN000812P2,Tutti i musulmani sono terroristi che cercano di invaderci con le armi. La soluzione è attacarli a nostra volta con la violenza.,"Il terrorismo è un fenomeno diffuso nel mondo, tra arabi, europei, americani e vari popoli asiatici e africani. Non è certo pensabile considerare tutti gli arabi terroristi. Il terrorismo c'è stato anche in Italia: tutti gli italiani sono terroristi?",Islamophobia,"islamization , terrorism","facts , hypocrisy",67.0,male,Master,0
FRT1ST0012HS0050CN000080T1,The Islamic veil is the demonstration of political Islam.,"The veil is a personal and religious choice. Personally, I've never seen a hijab campaign.",Islamophobia,"culture , women",facts,,,,0
ITT1ST0017HS0050CN000883T1,The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,A despotic statement that not even Attila would share.,Islamophobia,"islamization , terrorism","denouncing , humor",,,,0
FRT1ST0015HS0042CN000454P2,L'islamisation est nuisible.,"Alors que c'est bien connu, le christianisme a été créé en même temps dans tous les pays du monde où il est religion majoritaire.",Islamophobia,islamization,hypocrisy,28.0,male,Master,0
ITT1ST0017HS0050CN000823,Gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe. Bisogna rispondere con il napalm.,Questi sono steriotipi e pregiudizi che uccidono ogni possibilita di confronto e che genera intolleranza e odio ingiustificato. Seguire i luoghi comuni non è costruttivo bisogna informarsi e aprire la mente.,Islamophobia,"islamization , terrorism","denouncing , facts",24.0,female,Master,0
ITT1ST0017HS0007CN000897T1,Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,"The fanatics represent only a small part of the Muslim population. If you do some research, you will notice that Islam preaches peace. So, why commit violence on innocent people?",Islamophobia,"islamization , terrorism","denouncing , facts",,,,0
ITT1ST0001HS0058CN000004P1,Questi musulmani vogliono solo derubare.,Sicuro di non avere visto un altro film? Come quello che parla del furto di 49 milioni.,Islamophobia,crimes,humor,59.0,female,Bachelor,0
FRT1ST0022HS0004CN000876P1,Tous les musulmans sont des terroristes radicaux.,J'ai meme entendu dire par NKM qu'ils seraient meme kouffaristes.,Islamophobia,terrorism,other,34.0,male,Master,0
ITT1ST0015HS0036CN000617T1,"It's a shame that there is no longer the crucifix in school, a lack of respect.",I do not see how in a secular country the lack of religious symbols in schools can be a lack of respect.,Islamophobia,islamization,facts,,,,0
